Case,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
"Die Klinikaufnahme einer 34-jährigen Frau erfolgt in Begleitung einer Notärztin direkt in den Schockraum. Es wird berichtet, an diesem Abend habe der Vermieter die Patientin „schmerzgeplagt“ – mit einer prästernal gehaltenen Hand – im Keller aufgefunden und daraufhin den Rettungsdienst alarmiert. Beim Eintreffen des Rettungsdienstes kurz darauf ist die Patientin noch ansprechbar, wenige Minuten später zeigt sie allerdings nur noch eine Schnappatmung und wird reanimationspflichtig. Es besteht eine pulslose elektrische Aktivität, eine Schockabgabe (Defibrillatoreinsatz) erfolgt zu keinem Zeitpunkt. Auffällig ist ein nach Fraktur in Gips befindlicher Unterschenkel. Nach 22-minütiger Reanimation kann ein ROSC („return of spontaneous circulation“) erzielt werden. Bei der körperlichen Untersuchung werden folgende Befunde erhoben:<br> - Pupillen: rund, lichtreagibel, isokor.<br> - Pulmo: vesikuläres Atemgeräusch beidseits.<br> - Cor: rhythmisch, kein vitientypisches Geräusch auskultierbar.<br> - Abdomen: weich, keine Resistenzen, keine Abwehrspannung, Darmgeräusche in allen 4 Quadranten auskultierbar.<br> - Gips am rechten Unterschenkel.",Was – vom Genannten – ist hier die wahrscheinlichste Ursache für die Notwendigkeit einer Reanimation?,0) akuter Myokardinfarkt,1) akute Lungenembolie,2) akute kardiale Dekompensation,3) akute Hypoxie im Keller,4) Long-QT-Syndrom,1
"Ein 55-jähriger Verwaltungsangestellter stellt sich wegen kolikartiger Bauchschmerzen und Diarrhö (4- bis 5-mal pro Tag) bei Ihnen vor. Er hat keine Vorerkrankungen und war in den letzten Wochen nicht auf Reisen. Die Symptomatik besteht seit knapp 2 Tagen. Seine Ehefrau und seine Kinder sind gesund. Er hat kein Fieber, kein Blut im Stuhl, der Bauch ist bei der Untersuchung unauffällig mit recht lebhaften Darmgeräuschen. Der Blutdruck wird im Liegen mit 160/80 mmHg gemessen, die Herzfrequenz beträgt 96/min bei regelmäßigem Rhythmus. Der Patient wirkt etwas besorgt.",Wie sollte Ihr nächster Schritt am ehesten aussehen?,0) Sie führen die vorgeschriebene Stuhluntersuchung auf Salmonellen durch.,1) Sie bestimmen bei Verdacht auf eine Virushepatitis die Leberwerte.,2) Sie empfehlen ein abwartendes Vorgehen mit symptomatischer Behandlung der Durchfallerkrankung.,3) Sie geben zur Kupierung der Hypertonie einen β1AR-Antagonisten (Betablocker).,4) Sie geben zur Kupierung der Hypertonie einen Inhibitor des Na+/Cl--Cotransporters (Thiazid-Diuretikum).,2
"Ein 55-jähriger Verwaltungsangestellter stellt sich wegen kolikartiger Bauchschmerzen und Diarrhö (4- bis 5-mal pro Tag) bei Ihnen vor. Er hat keine Vorerkrankungen und war in den letzten Wochen nicht auf Reisen. Die Symptomatik besteht seit knapp 2 Tagen. Seine Ehefrau und seine Kinder sind gesund. Er hat kein Fieber, kein Blut im Stuhl, der Bauch ist bei der Untersuchung unauffällig mit recht lebhaften Darmgeräuschen. Der Blutdruck wird im Liegen mit 160/80 mmHg gemessen, die Herzfrequenz beträgt 96/min bei regelmäßigem Rhythmus. Der Patient wirkt etwas besorgt.","Nach 3 Tagen stellt der Patient sich wieder vor. Die Bauchbeschwerden sind besser, die wässrige Diarrhö (nun 1- bis 2-mal pro Tag) hält noch an. Das Essen sei noch eingeschränkt, aber Trinken gehe wieder ohne Probleme.  Der Blutdruck beträgt jetzt 165/95 mmHg, die Herzfrequenz 76/min. Die körperliche Untersuchung ist im Übrigen unauffällig.  Welche der folgenden Maßnahmen kommt jetzt am ehesten in Betracht?",0) Sie verordnen hochdosiert Loperamid für 1 Woche.,"1) Es besteht eine Indikation zur Infusionstherapie, um die Dehydratation mit drohender Exsikkose zu bekämpfen.",2) Unter dem Verdacht auf eine Clostridioides-Diarrhö geben Sie für 2 Tage Metronidazol.,3) Unter dem Verdacht auf eine Salmonellen-Enteritis geben Sie für 5 Tage Ciprofloxacin.,4) Sie bestellen den Patienten spätestens in 1 Woche wieder ein.,4
"Ein 55-jähriger Verwaltungsangestellter stellt sich wegen kolikartiger Bauchschmerzen und Diarrhö (4- bis 5-mal pro Tag) bei Ihnen vor. Er hat keine Vorerkrankungen und war in den letzten Wochen nicht auf Reisen. Die Symptomatik besteht seit knapp 2 Tagen. Seine Ehefrau und seine Kinder sind gesund. Er hat kein Fieber, kein Blut im Stuhl, der Bauch ist bei der Untersuchung unauffällig mit recht lebhaften Darmgeräuschen. Der Blutdruck wird im Liegen mit 160/80 mmHg gemessen, die Herzfrequenz beträgt 96/min bei regelmäßigem Rhythmus. Der Patient wirkt etwas besorgt.",Beim nächsten Praxisbesuch ist der Patient beschwerdefrei.  Der Blutdruck beträgt jetzt 150/90 mmHg.  Wie sollte Ihr Vorgehen nun am ehesten aussehen?,0) Sie veranlassen eine ambulante 24-Stunden-Blutdruckmessung.,1) Zur weiteren Hypertonie-Diagnostik veranlassen Sie ein Langzeit-EKG.,2) Sie verordnen zur Hypertoniebehandlung einen β1AR-Antagonisten.,3) Sie verordnen zur Hypertoniebehandlung einen Inhibitor des Na+/Cl--Cotransporters.,4) Sie stellen die Diagnose einer sekundären Hypertonie.,0
"Ein 57-jähriger Patient stellt sich bei Ihnen in der Hausarztpraxis vor. Vor ca. 3 Wochen war er kurzfristig wegen starker Schmerzen im Analbereich operiert und stationär aufgenommen worden. Aus dem mitgebrachten Arztbrief geht hervor, dass ein perianaler Abszess mit Fistel ins distale Rektum ziehend in Narkose eröffnet wurde. Anamnestisch ergibt sich, auch für die Zeit vor Auftreten der Schmerzen vor 3 Wochen, kein Hinweis auf weitere Beschwerden oder Erkrankungen. Bei der klinischen Untersuchung der Analregion finden Sie einen farbigen, dünnen und locker liegenden Gummi, der mit Fistel ins distale Rektum hineinzieht und offenbar aus dem Anus wieder herauskommt. Außen ist dieser Gummi verknotet.",Warum wurde dieses Gummiband chirurgisch eingelegt?  Am ehesten:,0) zur Anzeige einer Blutung aus dem oberen Rektum,1) zum schnelleren Verschluss der Wunde,2) um wiederholt lokal Antibiotika einbringen zu können,3) zur Drainage und Behandlung einer Analfistel,4) zur besseren Erkennung bei radiologischen Untersuchungen,3
"Ein 57-jähriger Patient stellt sich bei Ihnen in der Hausarztpraxis vor. Vor ca. 3 Wochen war er kurzfristig wegen starker Schmerzen im Analbereich operiert und stationär aufgenommen worden. Aus dem mitgebrachten Arztbrief geht hervor, dass ein perianaler Abszess mit Fistel ins distale Rektum ziehend in Narkose eröffnet wurde. Anamnestisch ergibt sich, auch für die Zeit vor Auftreten der Schmerzen vor 3 Wochen, kein Hinweis auf weitere Beschwerden oder Erkrankungen. Bei der klinischen Untersuchung der Analregion finden Sie einen farbigen, dünnen und locker liegenden Gummi, der mit Fistel ins distale Rektum hineinzieht und offenbar aus dem Anus wieder herauskommt. Außen ist dieser Gummi verknotet.",Wie lange sollte ein solches Gummiband zumeist verbleiben?  Am ehesten:,0) einige Tage,1) etwa 1 bis 2 Wochen,2) etwa 8 bis 20 Wochen,3) etwa 1 bis 2 Jahre,4) dauerhaft,2
"Ein 57-jähriger Patient stellt sich bei Ihnen in der Hausarztpraxis vor. Vor ca. 3 Wochen war er kurzfristig wegen starker Schmerzen im Analbereich operiert und stationär aufgenommen worden. Aus dem mitgebrachten Arztbrief geht hervor, dass ein perianaler Abszess mit Fistel ins distale Rektum ziehend in Narkose eröffnet wurde. Anamnestisch ergibt sich, auch für die Zeit vor Auftreten der Schmerzen vor 3 Wochen, kein Hinweis auf weitere Beschwerden oder Erkrankungen. Bei der klinischen Untersuchung der Analregion finden Sie einen farbigen, dünnen und locker liegenden Gummi, der mit Fistel ins distale Rektum hineinzieht und offenbar aus dem Anus wieder herauskommt. Außen ist dieser Gummi verknotet.",Was sollte mit dem Gummiband im Folgenden am ehesten geschehen?,0) nach vorbereitenden Untersuchungen Entfernung mit operativer Sanierung,1) Durchschneiden und Entfernen des Gummis durch den Hausarzt,2) Entfernen des Gummis mit Verschluss der äußeren Öffnung,3) regelmäßiges Nachspannen des Gummis bis zur Durchtrennung der Analfistel,4) bei Beschwerden in der Region sofortige Durchtrennung und Entfernung,0
"Im Spätdienst einer stark frequentierten Kindernotaufnahme ruft die triagierende Pflegekraft den diensthabenden Kinderarzt zu einem 3 Monate alten männlichen Säugling, der mit „rot“ triagiert wurde und bald angesehen werden sollte. In der kapillären Blutgasanalyse (BGA) wurde ein pH-Wert von 7,19 gemessen. Der gerufene Kinderarzt ist gerade bei einer Lumbalpunktion und bittet deshalb die PJ-Studentin, die ihn die 1. Woche begleitet, nach dem Säugling zu sehen.",Worauf sollte die PJ-Studentin vor allem achten bzw. was sollte am ehesten veranlasst werden?,0) Körpergewicht bestimmen,1) Urinosmolalität messen,2) Hautturgor und Blutdruck prüfen,3) Halbelektrolytinfusion vorbereiten,4) Aldosteron im Serum messen,2
"Im Spätdienst einer stark frequentierten Kindernotaufnahme ruft die triagierende Pflegekraft den diensthabenden Kinderarzt zu einem 3 Monate alten männlichen Säugling, der mit „rot“ triagiert wurde und bald angesehen werden sollte. In der kapillären Blutgasanalyse (BGA) wurde ein pH-Wert von 7,19 gemessen. Der gerufene Kinderarzt ist gerade bei einer Lumbalpunktion und bittet deshalb die PJ-Studentin, die ihn die 1. Woche begleitet, nach dem Säugling zu sehen.","Der diensthabende Kinderarzt kommt kurze Zeit später zu dem Säugling. Dessen Allgemeinzustand ist reduziert; er ist wach, aber teilnahmslos. Die Atmung ist angestrengt und tachypnoeisch.  Die anwesende Mutter erkennt ihren Sohn kaum wieder. Sie berichtet von einer fieberhaften Episode am Tag zuvor und zunehmend dünnen Stühlen. Das Kind werde voll gestillt und sei bisher gut gediehen. Der letzte Eintrag im Vorsorgeheft ist die U4.  Welche Kombination aus CO2-Partialdruck (pCO2) und Basenabweichung (BE) passt am ehesten zu Klinik, Anamnese und zu dem pH-Wert von 7,19?","0) pCO2 24 mmHg; BE 1,5 mmol/L",1) pCO2 24 mmHg; BE -14 mmol/L,"2) pCO2 65 mmHg; BE 1,5 mmol/L",3) pCO2 65 mmHg; BE -14 mmol/L,4) pCO2 45 mmHg; BE 14 mmol/L,1
"Im Spätdienst einer stark frequentierten Kindernotaufnahme ruft die triagierende Pflegekraft den diensthabenden Kinderarzt zu einem 3 Monate alten männlichen Säugling, der mit „rot“ triagiert wurde und bald angesehen werden sollte. In der kapillären Blutgasanalyse (BGA) wurde ein pH-Wert von 7,19 gemessen. Der gerufene Kinderarzt ist gerade bei einer Lumbalpunktion und bittet deshalb die PJ-Studentin, die ihn die 1. Woche begleitet, nach dem Säugling zu sehen.","Auf dem Ausdruck des BGA-Gerätes ist auch die Natrium-Konzentration zu finden. Sie beträgt 154 mmol/L (N: 132-141 mmol/L).  Bei dem Säugling wird ein peripher-venöser Zugang gelegt und dabei Blut zur Bestimmung der Elektrolyte, des CRPs und des Blutbildes abgenommen.  Wie sollte am ehesten weiter vorgegangen werden?","0) Infusion mit NaCl 0,9 % – Ergebnis des Labors abwarten – Infusion ggf. korrigieren",1) Ergebnis des Labors abwarten – Infusion berechnen – i.v. antibiotische Therapie,2) Infusion mit Glukose 5 % – i.v. antibiotische Therapie – Monitoring,3) i.v. antibiotische Therapie – Monitoring – Elektrolyt-Glukose-Lösung über Sonde,4) Monitoring – Elektrolyt-Glukose-Lösung über Sonde – Ergebnis des Labors abwarten,0
"Eine 35-jährige Patientin (Gravida III, Para II) stellt sich mit starken Hypermenorrhöen vor. Der Hb-Wert liegt bei 98 g/L. Die Patientin ist normalgewichtig und gibt bis auf eine leichte Müdigkeit keine Beschwerden an. Sie vermuten einen Uterus myomatosus. Ansonsten ist die Patientin gesund. Sie ist sich nicht ganz sicher, ob sie in der Zukunft weitere Kinder wünscht – eine Schwangerschaft in den nächsten 3 Jahren sei jedoch nicht geplant. Aktuell verhütet sie mit einem kombinierten oralen Kontrazeptivum.",Welcher der folgenden Myomtypen ist am ehesten für die Hypermenorrhöen verantwortlich?,0) intraligamentäre Myome,1) nekrotische Myome,2) parametrane Myome,3) submuköse Myome,4) subseröse Myome,3
"Eine 35-jährige Patientin (Gravida III, Para II) stellt sich mit starken Hypermenorrhöen vor. Der Hb-Wert liegt bei 98 g/L. Die Patientin ist normalgewichtig und gibt bis auf eine leichte Müdigkeit keine Beschwerden an. Sie vermuten einen Uterus myomatosus. Ansonsten ist die Patientin gesund. Sie ist sich nicht ganz sicher, ob sie in der Zukunft weitere Kinder wünscht – eine Schwangerschaft in den nächsten 3 Jahren sei jedoch nicht geplant. Aktuell verhütet sie mit einem kombinierten oralen Kontrazeptivum.","Nach uteruserhaltender operativer Therapie stellt sich die Patientin erneut bei Ihnen vor.  Sie hat gehört, dass Hormone evtl. das Myomwachstum fördern können. Sie fragt nach weiteren Verhütungsoptionen.  In diesem Zusammenhang gilt für – in der evidenzbasierten Medizin etablierte – hormonelle Verhütungsmittel generell am ehesten Folgendes:  Bei Uterus myomatosus ist",0) eine östrogenhaltige „Pille“ absolut kontraindiziert,1) eine gestagenhaltige „Pille“ absolut kontraindiziert,2) die Einlage einer Gestagen-freisetzenden Spirale absolut kontraindiziert,3) die Anwendung eines Gestagen-Implantates absolut kontraindiziert,4) keine hormonelle Verhütungsmethode absolut kontraindiziert,4
"Eine 35-jährige Patientin (Gravida III, Para II) stellt sich mit starken Hypermenorrhöen vor. Der Hb-Wert liegt bei 98 g/L. Die Patientin ist normalgewichtig und gibt bis auf eine leichte Müdigkeit keine Beschwerden an. Sie vermuten einen Uterus myomatosus. Ansonsten ist die Patientin gesund. Sie ist sich nicht ganz sicher, ob sie in der Zukunft weitere Kinder wünscht – eine Schwangerschaft in den nächsten 3 Jahren sei jedoch nicht geplant. Aktuell verhütet sie mit einem kombinierten oralen Kontrazeptivum.","Bei erneut auftretenden Beschwerden zeigt sich nach einigen Jahren im Ultraschall erneut ein Myomwachstum.  Die Patientin wünscht weiterhin keine unmittelbare Entfernung der Gebärmutter, hat aber keinen Kinderwunsch mehr. Sie hat im Internet über organerhaltende Maßnahmen gelesen.  Welche der folgenden Maßnahmen kommt hier am wenigsten in Betracht?",0) Embolisation der A. uterina,1) fokussierter Ultraschall,2) laparoskopische Myomenukleation,3) medikamentöse Therapie,4) photodynamische Therapie,4
"In einer Kindertageseinrichtung ist die 4-jährige Lina an Masern erkrankt. Das maserntypische Exanthem wurde am Sonntag festgestellt, nachdem Lina am Freitag, also 2 Tage zuvor, letztmalig in der Kindertagesstätte war. Freitags ist Turntag in der Kindertagesstätte, und die kleine Turnhalle wird direkt nacheinander von allen 4 Kita-Gruppen genutzt. Linas Gruppe war an 3. Stelle an der Reihe und ist nach der Turnstunde abgeholt worden. Vor der Turnstunde war Lina zeitgleich mit anderen Kindern zum Naseputzen und Händewaschen im Waschraum. Die Leitung der Kindertageseinrichtung und der betreuende Kinderarzt benachrichtigen am Montag nach der Diagnosestellung durch den Kinderarzt das Gesundheitsamt.",Welche der folgenden Maßnahmen ist seitens des Gesundheitsamtes als erster Schritt am ehesten zu veranlassen?,0) Schließung der Kindertageseinrichtung,1) Überprüfung des Impfstatus aller Kontaktpersonen,2) postexpositionelle Chemoprophylaxe aller Kontaktpersonen,3) Inkubationsimpfung aller Kontaktpersonen,4) postexpositionelle Prophylaxe durch Immunglobuline für alle Kontaktpersonen,1
In einer Hausarztpraxis wird seit 3 Jahren eine 45-jährige Frau unter der Diagnose eines Restless-Legs-Syndroms (RLS) mit einem L-Dopa/Benserazid-Präparat behandelt. Zunehmend ist die Patientin jedoch mit der Wirkung unzufrieden. Es komme abends jetzt immer intensiver zu brennenden Missempfindungen im Bereich der Füße. Deshalb ist nun die Umstellung der RLS-Therapie auf den Dopaminagonisten Pramipexol vorgesehen.,Pramipexol weist als Dopaminagonist eine Reihe von Nebenwirkungen auf.  Über welche unerwünschte Wirkung von Pramipexol sollte die Patientin am ehesten aufgeklärt werden?,0) Tremorinduktion,1) Granulozytopenie,2) Impulskontrollstörung,3) Thrombozytopenie,4) Hepatotoxizität,2
In einer Hausarztpraxis wird seit 3 Jahren eine 45-jährige Frau unter der Diagnose eines Restless-Legs-Syndroms (RLS) mit einem L-Dopa/Benserazid-Präparat behandelt. Zunehmend ist die Patientin jedoch mit der Wirkung unzufrieden. Es komme abends jetzt immer intensiver zu brennenden Missempfindungen im Bereich der Füße. Deshalb ist nun die Umstellung der RLS-Therapie auf den Dopaminagonisten Pramipexol vorgesehen.,Bei der Patientin wurde aktuell eine diabetische Stoffwechsellage festgestellt. Differenzialdiagnostisch muss deshalb auch die Möglichkeit einer Neuropathie im Rahmen der diabetischen Stoffwechsellage als Ursache der geklagten Fußschmerzen erwogen werden.  Welche der folgenden Aussagen trifft auf eine diabetische Neuropathie am ehesten zu?,0) Besonders sind dabei Alphamotoneurone betroffen.,1) Es handelt sich dabei mehrheitlich um eine demyelinisierende Polyneuropathie.,2) Die neurografischen Untersuchungsergebnisse korrelieren mit der Schmerzintensität.,3) Die Angabe einer Allodynie ist häufig und weist auf eine Small-Fiber-Affektion hin.,4) Die heftigen Schmerzen werden in erster Linie mit Opioiden behandelt.,3
In einer Hausarztpraxis wird seit 3 Jahren eine 45-jährige Frau unter der Diagnose eines Restless-Legs-Syndroms (RLS) mit einem L-Dopa/Benserazid-Präparat behandelt. Zunehmend ist die Patientin jedoch mit der Wirkung unzufrieden. Es komme abends jetzt immer intensiver zu brennenden Missempfindungen im Bereich der Füße. Deshalb ist nun die Umstellung der RLS-Therapie auf den Dopaminagonisten Pramipexol vorgesehen.,Neben dem bei der Patientin vorliegenden idiopathischen Restless-Legs-Syndrom (RLS) gibt es das sekundäre oder symptomatische RLS. Bei den davon Betroffenen treten die „unruhigen Beine“ in Zusammenhang mit einer anderen Erkrankung oder bestimmten Umständen auf.  Unter welcher Laborkonstellation tritt häufiger ein sekundäres Restless-Legs-Syndrom auf?,0) Erhöhung von T3/T4,1) Eisenmangel,2) Kupfer-Mangel,3) Vitamin-D-Mangel,4) Hypermagnesiämie,1
